,Valor,Calificacion,Area
0,401709,7.0,3173
1,1119924,2.0,1312
2,1056671,5.0,2166
3,1133950,2.0,3662
4,1130171,4.0,2962
5,984299,6.0,1087
6,587469,4.0,2492
7,883495,9.0,4248
8,870804,8.0,2645
9,566035,1.0,2288
10,915528,7.0,323
11,397452,6.0,3810
12,375930,6.0,4704
13,1116070,2.0,4336
14,470507,3.0,3717
15,679367,7.0,1080
18,1004050,7.0,4074
19,681447,5.0,798
22,727410,6.0,2214
23,471900,6.0,1939
24,691080,7.0,4761
25,1000771,8.0,2801
26,943142,7.0,457
27,1061609,8.0,4141
28,1084067,5.0,3650
29,560295,7.0,4627
30,488822,7.0,3946
31,866286,9.0,3725
32,544202,7.0,4669
33,386446,3.0,3533
34,372339,1.0,4013
35,1044428,3.0,1913
36,445275,6.0,2001
37,649933,9.0,2865
38,1059576,1.0,599
40,621677,6.0,3255
41,654220,6.0,2881
42,376397,7.0,4760
43,994499,9.0,520
44,872201,10.0,3541
45,421592,4.0,3804
46,709651,4.0,1261
47,483832,6.0,1921
48,658600,3.0,544
49,401485,3.0,2649
50,531165,9.0,3724
51,573007,6.0,1616
52,790250,1.0,1122
53,992831,2.0,1841
54,1092615,1.0,3989
55,1081199,4.0,2613
56,699837,8.0,4858
58,730751,4.0,2067
59,905921,4.0,1556
60,971430,5.0,507
61,1139957,6.0,3599
64,670014,3.0,2390
65,819490,6.0,2881
66,914630,8.0,3887
67,969489,2.0,3154
68,664900,5.0,3011
69,834500,7.0,1889
70,697609,8.0,2825
71,578545,5.0,512
72,404234,7.0,3780
73,775333,6.0,3995
74,436916,10.0,2982
75,641895,3.0,1770
76,919046,7.0,4214
77,942252,6.0,4060
78,391287,8.0,4820
79,799224,3.0,2080
80,385268,6.0,3044
81,517871,3.0,2441
82,831550,2.0,3291
83,512053,4.0,1371
84,631470,4.0,342
85,1130313,6.0,2796
86,648551,3.0,4590
87,927457,5.0,789
88,944116,4.0,2388
89,613111,8.0,3230
90,378198,8.0,3116
92,1101841,3.0,1390
94,1058009,3.0,2717
96,440940,1.0,4185
98,1135336,4.0,2542
99,576299,6.0,4042
100,780627,4.0,2551
101,602912,8.0,4795
102,394790,2.0,4356
103,535121,2.0,4997
104,792549,6.0,4361
105,745578,9.0,3924
106,969812,9.0,3729
107,677907,7.0,2977
108,937016,2.0,3894
109,1123484,4.0,472
110,992947,7.0,3277
111,630603,1.0,1520
112,1031339,7.0,199
113,614908,6.0,3381
114,633687,2.0,1773
115,892144,2.0,1765
116,573635,8.0,3472
117,1120046,7.0,2010
118,717367,7.0,4222
119,844591,2.0,519
121,1121290,9.0,2513
122,1147156,6.0,2014
123,890892,9.0,2004
124,751818,3.0,3219
126,362485,2.0,3101
127,465122,9.0,3321
128,655435,7.0,3512
129,838276,6.0,3158
130,410530,2.0,2479
131,1099812,4.0,174
132,625335,6.0,4114
133,922761,1.0,4486
134,1024731,5.0,3384
135,434261,3.0,3000
136,448924,2.0,2354
137,521579,4.0,2459
140,843738,6.0,1573
141,670021,8.0,4936
142,888140,10.0,2109
143,1047021,1.0,873
145,553530,1.0,1106
146,1089556,10.0,3864
147,878899,8.0,1576
148,823100,2.0,1230
149,1103992,9.0,284
150,441833,6.0,1106
151,710668,1.0,2820
152,384906,8.0,4315
154,620104,5.0,4442
155,1098242,1.0,756
157,1021672,8.0,3012
158,623700,1.0,4981
159,1123465,4.0,4481
160,511590,9.0,1882
161,901445,2.0,1624
162,1034927,9.0,2212
163,742976,5.0,1623
164,853037,4.0,163
165,822146,9.0,339
166,677547,9.0,4748
167,568988,7.0,1885
169,900799,9.0,2046
170,360865,8.0,3070
172,1004745,2.0,4569
173,406954,5.0,2334
174,1107417,4.0,2847
175,1033728,2.0,4374
177,541669,1.0,3550
178,1076577,6.0,1787
179,709679,8.0,3021
180,748254,9.0,2890
181,863355,5.0,3769
182,587116,7.0,1657
184,429451,4.0,609
185,774093,3.0,303
186,398568,5.0,1206
187,770337,6.0,4533
188,511240,4.0,229
189,914194,2.0,401
190,1035852,9.0,2936
191,590660,5.0,1562
192,853381,4.0,2213
193,893287,5.0,1581
194,1080171,7.0,4009
196,945251,4.0,4417
198,749412,6.0,1367
